file_name,min,max,avg,qav,std,ske,kur,p05,p10,p25,p50,p75,p90,int_p25,int_p50,int_p75,cov,dns
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip67.las,1.37,30.5,11.69,167.19,5.53,0.38,3.01,3.04,4.21,7.62,11.73,15.15,18.49,30,57,88,43.1,41.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip68.las,1.37,26.14,14.62,241.43,5.27,-0.54,2.7,4.12,7.24,11.09,15.54,18.54,20.75,36,65,94,48.2,45.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip69.las,1.37,29.6,15.29,280.63,6.84,-0.17,2.19,3.2,4.98,10.27,16.03,20.46,24.18,21,42,61,59.7,53.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip7.las,1.39,26.48,10.89,148.24,5.45,0.6,2.74,3.22,4.24,6.79,10.03,14.2,19.05,35,61,92,57.4,54.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip70.las,1.37,23,11.77,163.79,5.04,-0.25,2.12,2.91,4.17,7.98,12.49,15.67,18.12,41,76,103,47.4,43.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip71.las,1.37,28.3,13.67,214.14,5.23,-0.21,2.91,3.66,5.76,10.86,13.96,16.99,20.15,29,55,87,69.4,60.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip72.las,1.37,29.16,13.59,215.84,5.59,-0.02,2.7,3.83,5.86,9.88,13.86,17.29,20.6,22,44,77,59.7,51.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip73.las,1.37,22.96,11.68,154.65,4.26,-0.4,2.31,4.02,5.22,8.54,12.58,14.86,16.73,43,92,119,74.7,63.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip74.las,1.37,29.06,13.28,212.5,6.01,-0.16,2.24,2.61,4.27,8.81,13.77,17.75,20.77,22,42,76,63.5,58.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip75.las,1.39,22.63,12.57,175.31,4.16,-0.28,2.54,5.19,6.75,9.79,12.78,15.74,17.79,41,92,119,66.1,56.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip76.las,1.37,26.09,13.16,198.72,5.06,-0.25,2.42,4.18,5.79,9.55,13.69,16.85,19.3,24,47,81,68.6,56.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip77.las,1.37,26.75,10.96,155.45,5.94,0.65,2.59,2.89,4.21,6.39,9.73,14.56,21.02,31,54,81,30.3,29.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip78.las,1.37,24.27,11.77,160.09,4.64,-0.44,2.51,2.78,4.51,8.87,12.59,15.12,17.11,18,38,55,67.8,54.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip79.las,1.37,34.59,16.4,316.78,6.92,-0.06,2.49,4.15,6.62,11.65,16.55,21.11,25.68,24,50,83,66.6,58.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip8.las,1.46,24.94,13.18,196.05,4.72,-0.06,2.28,5.14,6.77,9.67,13.4,16.73,19.43,36,66,103,54.1,49.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip80.las,1.37,30.39,9.96,153.52,7.38,0.73,2.28,2.01,2.43,3.65,7.16,15.81,21.31,36,68,105,40.3,39.6
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip81.las,1.37,18.81,9.41,105.37,4.09,-0.39,2.05,2.22,2.86,6.18,10.33,12.65,14.25,17,35,60,68.8,52.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip82.las,1.37,28.89,8.84,138.61,7.77,0.94,2.33,1.78,2.08,3.02,4.73,15.78,22.14,36,54,77,39.1,38.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip83.las,1.37,33.1,17.64,346.66,5.95,-0.04,2.85,7.46,9.84,13.71,17.88,21.3,25.42,31,66,99,39.0,39.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip84.las,1.37,27.64,11.31,168.21,6.34,0.13,1.92,2.16,2.8,5.34,11.63,16.25,19.76,34,65,94,73.9,66.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip85.las,1.37,27.74,14.42,243.14,5.94,-0.3,2.16,3.88,5.79,9.54,15.51,19.07,21.41,42,92,116,51.7,49.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip86.las,1.37,25.98,11.35,161.39,5.7,0.23,2.25,2.51,3.67,6.99,11.06,15.52,19.37,30,56,88,64.3,58.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip87.las,1.37,24.22,9.12,115.46,5.69,0.75,2.44,2.28,3.06,4.58,7.32,12.9,18.44,28,53,88,41.8,38.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip88.las,1.37,21.56,10.59,138.41,5.13,-0.17,1.87,2.13,2.85,6.3,11.11,14.93,17.03,18,37,61,51.0,45.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip89.las,1.38,17.69,7.39,66.64,3.48,0.68,2.97,2.58,3.23,4.68,6.98,9.39,12.78,33,62,88,4.8,5.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip9.las,1.37,31.48,16.96,329.6,6.49,-0.41,2.36,4.82,7.1,12.37,17.96,21.92,24.86,19,41,61,68.6,62.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip90.las,1.37,18.31,7.87,76.46,3.8,0.15,2.21,1.85,2.46,4.81,7.76,10.77,12.96,23,44,92,27.0,27.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip91.las,1.37,16.71,9.47,98.5,2.98,-0.6,2.92,3.47,4.99,7.77,9.93,11.59,12.91,37,66,103,79.0,60.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip92.las,1.37,31.48,16.31,312.8,6.84,-0.17,2.17,4.45,6.69,11.04,16.85,21.84,25.04,27,66,103,79.4,67.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip93.las,1.37,31.74,13.3,230.12,7.29,0.16,1.94,2.74,3.75,6.61,13.38,19.17,23.04,23,44,77,75.4,64.6
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip94.las,1.37,19.93,11.67,153.37,4.15,-0.71,2.53,3.36,5.22,8.76,12.79,14.89,16.19,15,33,70,62.1,48.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip95.las,1.38,20.45,12.24,163.47,3.71,-0.95,3.3,4.36,6.4,10.47,13.18,14.86,16.08,18,39,72,71.3,52.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip96.las,1.37,28.7,10.75,158.67,6.57,0.34,2.01,1.98,2.59,4.62,10.15,15.85,19.99,24,47,81,64.1,58.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip97.las,1.37,33.97,16.6,341.99,8.16,-0.35,2.06,2.37,3.53,10.03,18.25,22.85,26.35,22,44,64,48.5,46.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip98.las,1.37,31.9,12.52,204.8,6.93,0.35,2.34,2.36,3.44,6.81,12.09,17.54,22.18,19,40,81,74.0,61.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip99.las,1.38,28.17,16.17,283.65,4.7,-0.69,3.33,6.7,9.44,13.8,16.69,19.55,21.57,32,83,119,78.0,64.0
